pipeline_id,split,perturbation,perturbation_family,perturbation_level,case_count,auto_pass_rate,mean_monotonic_fraction,mean_violation_count,mean_spearman_rho,mean_expected_span,mean_max_unmasked_delta,mean_mask_area_fraction,s_order,s_qa,e_crit,fragility_balanced,archived_comparator,contact_sheet
P2_diffusion_archived_exp06,test,contrast_up_low,contrast,low,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,contrast_down_low,contrast,low,4,1.0,1.0,0.0,0.9999999999999999,5.379336386919022,0.005889526453963807,0.5163443684577942,1.0,1.0,0.0,0.0,,
P3_sparse2_ridge,test,contrast_down_low,contrast,low,4,1.0,1.0,0.0,0.9999999999999999,5.368934541940689,0.005920470609253056,0.5163443684577942,1.0,1.0,0.0,0.0,,
P4_sparse4_ridge,test,contrast_down_low,contrast,low,4,1.0,1.0,0.0,0.9999999999999999,5.368885695934296,0.005925496078907088,0.5163443684577942,1.0,1.0,0.0,0.0,,
P2_diffusion_archived_exp06,test,contrast_down_low,contrast,low,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,image_noise_low,image_noise,low,4,0.75,0.9375,0.25,0.9749999999999999,5.445572108030319,0.006078614764254736,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P3_sparse2_ridge,test,image_noise_low,image_noise,low,4,1.0,1.0,0.0,0.9999999999999999,5.424516916275024,0.006097519728056718,0.5163443684577942,1.0,1.0,0.0,0.0,,
P4_sparse4_ridge,test,image_noise_low,image_noise,low,4,1.0,1.0,0.0,0.9999999999999999,5.4365911185741425,0.006106450455229436,0.5163443684577942,1.0,1.0,0.0,0.0,,
P2_diffusion_archived_exp06,test,image_noise_low,image_noise,low,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,parameter_noise_low,parameter_noise,low,4,0.25,0.75,1.0,0.8999999999999998,5.311149090528488,0.005905456541275716,0.5163443684577942,0.81,0.8500000000000001,0.0,0.13599999999999995,,
P3_sparse2_ridge,test,parameter_noise_low,parameter_noise,low,4,0.5,0.875,0.5,0.9499999999999998,5.3452979028224945,0.006123692029976124,0.5163443684577942,0.905,0.9,0.0,0.07799999999999999,,
P4_sparse4_ridge,test,parameter_noise_low,parameter_noise,low,4,0.25,0.8125,0.75,0.9249999999999998,5.326881796121597,0.006728047520023891,0.5163443684577942,0.8575,0.8500000000000001,0.0,0.11699999999999997,,
P2_diffusion_archived_exp06,test,parameter_noise_low,parameter_noise,low,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,mask_erode_high,mask_erode,high,4,0.75,0.9375,0.25,0.9749999999999999,5.35925155878067,0.005312484564094153,0.4867517948150635,0.9525,0.95,0.0,0.039000000000000014,,
P3_sparse2_ridge,test,mask_erode_high,mask_erode,high,4,1.0,1.0,0.0,0.9999999999999999,5.347859352827072,0.005340969918449115,0.4867517948150635,1.0,1.0,0.0,0.0,,
P4_sparse4_ridge,test,mask_erode_high,mask_erode,high,4,1.0,1.0,0.0,0.9999999999999999,5.347693651914597,0.005345526746494252,0.4867517948150635,1.0,1.0,0.0,0.0,,
P2_diffusion_archived_exp06,test,mask_erode_high,mask_erode,high,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,mask_dilate_high,mask_dilate,high,4,0.75,0.9375,0.25,0.9749999999999999,5.3809888660907745,0.00656984263782083,0.5460461378097534,0.9525,0.95,0.0,0.039000000000000014,,
P3_sparse2_ridge,test,mask_dilate_high,mask_dilate,high,4,1.0,1.0,0.0,0.9999999999999999,5.369501084089279,0.006588472177952954,0.5460461378097534,1.0,1.0,0.0,0.0,,
P4_sparse4_ridge,test,mask_dilate_high,mask_dilate,high,4,1.0,1.0,0.0,0.9999999999999999,5.369360655546188,0.006593517012354367,0.5460461378097534,1.0,1.0,0.0,0.0,,
P2_diffusion_archived_exp06,test,mask_dilate_high,mask_dilate,high,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,mask_shift_pos_high,mask_shift,high,4,0.75,0.9375,0.25,0.9749999999999999,5.3683266043663025,0.005777074415150733,0.5159199237823486,0.9525,0.95,0.0,0.039000000000000014,,
P3_sparse2_ridge,test,mask_shift_pos_high,mask_shift,high,4,1.0,1.0,0.0,0.9999999999999999,5.357220709323883,0.0058016064058079774,0.5159199237823486,1.0,1.0,0.0,0.0,,
P4_sparse4_ridge,test,mask_shift_pos_high,mask_shift,high,4,1.0,1.0,0.0,0.9999999999999999,5.3570365607738495,0.005806447984486155,0.5159199237823486,1.0,1.0,0.0,0.0,,
P2_diffusion_archived_exp06,test,mask_shift_pos_high,mask_shift,high,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,mask_shift_neg_high,mask_shift,high,4,0.75,0.9375,0.25,0.9749999999999999,5.372668892145157,0.0060287254567089905,0.5164870619773865,0.9525,0.95,0.0,0.039000000000000014,,
P3_sparse2_ridge,test,mask_shift_neg_high,mask_shift,high,4,1.0,1.0,0.0,0.9999999999999999,5.361004203557968,0.006052011829195689,0.5164870619773865,1.0,1.0,0.0,0.0,,
P4_sparse4_ridge,test,mask_shift_neg_high,mask_shift,high,4,1.0,1.0,0.0,0.9999999999999999,5.360886871814728,0.0060567414309417355,0.5164870619773865,1.0,1.0,0.0,0.0,,
P2_diffusion_archived_exp06,test,mask_shift_neg_high,mask_shift,high,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,target_noise_high,target_noise,high,4,0.75,0.9375,0.25,0.9749999999999999,5.366927653551102,0.005950746825419918,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P3_sparse2_ridge,test,target_noise_high,target_noise,high,4,0.75,0.9375,0.25,0.9749999999999999,5.3549827337265015,0.00597435720972768,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P4_sparse4_ridge,test,target_noise_high,target_noise,high,4,0.75,0.9375,0.25,0.9749999999999999,5.354838997125626,0.0059791604341722215,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,
P2_diffusion_archived_exp06,test,target_noise_high,target_noise,high,4,0.0,0.5,,0.0,3.554634243249893,0.03180583831778457,,0.5,0.4,1.0,0.64,True,
P1_proxy,test,brightness_up_high,brightness,high,4,0.75,0.9375,0.25,0.9749999999999999,5.372506260871887,0.0062178163262113844,0.5163443684577942,0.9525,0.95,0.0,0.039000000000000014,,experiments/results/exp09/fragility_aware_evaluation_v1/test_P1_proxy_brightness_up_high_contact_sheet.png
